# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
1.365000000000000000e+03 6.329229610576604728e+02 8.280781742213742191e+00 1.864884799056131542e+08 3.348510152918477615e+03 6.041774380133892410e+05
1.366000000000000000e+03 6.331366138267138695e+02 8.278701588647548348e+00 1.855699651214686632e+08 2.522692688339819142e+03 6.040894121615027543e+05
1.367000000000000000e+03 6.333542392667503691e+02 8.276583715018031029e+00 1.858572612234884202e+08 2.868931692706232752e+03 6.114115625692057656e+05
1.368000000000000000e+03 6.335780996191169834e+02 8.274406173381413154e+00 1.859530265908297300e+08 2.585482655079981669e+03 6.130430417105980450e+05
1.369000000000000000e+03 6.337823854638364764e+02 8.272418385290480458e+00 1.859830053145197332e+08 2.741175585955813858e+03 6.129860249656219967e+05
1.370000000000000000e+03 6.339979639540742937e+02 8.270307915271578381e+00 1.870131075701781213e+08 3.339324509953235065e+03 6.129070017576719401e+05
1.371000000000000000e+03 6.342095782607141246e+02 8.268237187983036307e+00 1.855516447903251946e+08 3.342288993913157810e+03 6.145884955876432359e+05
1.372000000000000000e+03 6.344111943670025084e+02 8.266265157298954946e+00 1.849054367463530004e+08 2.513057631289512756e+03 6.145194753173970385e+05
1.373000000000000000e+03 6.346254063286089604e+02 8.264170844344381095e+00 1.866017328617732823e+08 2.517362944067119770e+03 6.144454535783043830e+05
1.374000000000000000e+03 6.348476092178750605e+02 8.261999405573440924e+00 1.857106985743420124e+08 2.503165551864340159e+03 6.187117065139483893e+05
1.375000000000000000e+03 6.350711229365028885e+02 8.259816183667251011e+00 1.863910490536249280e+08 3.327945862836059860e+03 6.192868754325883929e+05
1.376000000000000000e+03 6.352805238992282284e+02 8.257771744980967554e+00 1.854100785951252282e+08 2.527292085191419119e+03 6.192318592751552351e+05
1.377000000000000000e+03 6.355112323699870558e+02 8.255523471458069196e+00 1.856515738692891300e+08 2.523070811827244142e+03 6.203001730231661350e+05
1.378000000000000000e+03 6.357225353302330859e+02 8.253477346794277025e+00 1.853476229207709432e+08 2.500733832312153936e+03 6.202431562781820539e+05
1.379000000000000000e+03 6.359261518468669010e+02 8.251506508534218298e+00 1.843083604995437264e+08 2.513415696643622141e+03 6.201911410020689946e+05
1.380000000000000000e+03 6.361471014163221298e+02 8.249368850292880140e+00 1.840676979677025676e+08 2.737506828401691109e+03 6.212424497559565352e+05
1.381000000000000000e+03 6.363733988795755749e+02 8.247180475646624487e+00 1.833740236112238169e+08 2.809163073069411894e+03 6.219566595088358736e+05
