# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
1.130000000000000000e+02 3.401878574771991453e+02 1.303552517875448835e+01 4.160630476913674176e+07 1.815726531475588672e+03 1.650484723049853073e+03
1.150000000000000000e+02 3.414950612076414700e+02 1.299978652574963078e+01 4.246985855985346437e+07 1.796408898771712302e+03 1.650484723049843069e+03
1.170000000000000000e+02 3.434984105373528678e+02 1.294537438335830792e+01 3.719776690215842426e+07 1.199748317200531801e+03 1.649484429278284097e+03
1.190000000000000000e+02 3.455600156219841779e+02 1.288991243977960011e+01 4.759538756839961559e+07 2.051247114068367409e+03 1.643482666648994837e+03
1.210000000000000000e+02 3.476121878933097378e+02 1.283523676953520720e+01 4.233828527254984528e+07 1.470750503540451064e+03 1.634480022705095962e+03
1.230000000000000000e+02 3.496476841963644802e+02 1.278156570913416168e+01 4.910681488773690909e+07 1.852773053952738110e+03 1.623476791218132803e+03
1.250000000000000000e+02 3.516841946545009705e+02 1.272841992905076935e+01 4.575669251545611024e+07 1.711159741609620369e+03 1.617475028588839677e+03
1.270000000000000000e+02 3.537331963825881758e+02 1.267542400809547942e+01 4.558931130819115043e+07 1.403025983917399572e+03 1.610472972188033964e+03
1.290000000000000000e+02 3.558205728054308565e+02 1.262190596123824449e+01 5.131441479052375257e+07 1.858659600437107883e+03 1.598469446929472269e+03
1.310000000000000000e+02 3.578985616907833105e+02 1.256920316023214923e+01 5.888154429510029405e+07 1.992850038750551448e+03 1.590467096757118270e+03
1.330000000000000000e+02 3.600152468417887803e+02 1.251603711042440814e+01 6.010401002776387334e+07 1.961438072385037458e+03 3.774108400040605375e+03
1.350000000000000000e+02 3.611218095460216091e+02 1.248845347987534993e+01 5.984252893780697882e+07 1.945401386734904236e+03 3.771107518725959380e+03
1.370000000000000000e+02 3.632097552362910733e+02 1.243676089373322036e+01 6.291035166201367229e+07 1.997502287436817824e+03 3.755102818381284123e+03
1.390000000000000000e+02 3.653090022602489171e+02 1.238528759275933133e+01 6.349660225860427320e+07 2.002612827255874890e+03 3.735096942950358425e+03
1.410000000000000000e+02 3.673602815256713825e+02 1.233549592273133122e+01 6.484148111300023645e+07 1.988567262487552171e+03 3.706088423575577508e+03
1.430000000000000000e+02 3.693944507182858388e+02 1.228656321930752604e+01 6.650280205078189820e+07 2.096417231802977312e+03 3.684081960601534774e+03
1.450000000000000000e+02 3.712032919021027055e+02 1.224338653331448512e+01 6.727975063973009586e+07 2.005850035286877073e+03 3.661075203856005828e+03
1.470000000000000000e+02 3.732894549139604123e+02 1.219406551163733354e+01 6.627629613846330345e+07 1.923764827994856432e+03 3.640069034653570270e+03
1.490000000000000000e+02 3.753243247213994778e+02 1.214641655871350423e+01 6.723145158489774168e+07 1.959323893603130273e+03 3.612060809050305124e+03
1.510000000000000000e+02 3.773689001233888121e+02 1.209890045805996905e+01 6.814247168812234700e+07 2.005222816812695100e+03 5.759691536558158987e+03
