# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
1.130000000000000000e+02 3.401878574771991453e+02 1.303552517875448835e+01 4.160630476913674176e+07 1.815726531475588672e+03 1.650484723049853073e+03
1.150000000000000000e+02 3.414950612076414700e+02 1.299978652574963078e+01 4.246985855985346437e+07 1.796408898771712302e+03 1.650484723049843069e+03
1.170000000000000000e+02 3.434984105373528678e+02 1.294537438335830792e+01 3.719776690215842426e+07 1.199748317200531801e+03 1.649484429278284097e+03
1.190000000000000000e+02 3.455600156219841779e+02 1.288991243977960011e+01 4.759538756839961559e+07 2.051247114068367409e+03 1.643482666648994837e+03
1.210000000000000000e+02 3.476121878933097378e+02 1.283523676953520720e+01 4.233828527254984528e+07 1.470750503540451064e+03 1.634480022705095962e+03
1.230000000000000000e+02 3.496476841963644802e+02 1.278156570913416168e+01 4.910681488773690909e+07 1.852773053952738110e+03 1.623476791218132803e+03
1.250000000000000000e+02 3.516841946545009705e+02 1.272841992905076935e+01 4.575669251545611024e+07 1.711159741609620369e+03 1.617475028588839677e+03
1.270000000000000000e+02 3.537331963825881758e+02 1.267542400809547942e+01 4.558931130819115043e+07 1.403025983917399572e+03 1.610472972188033964e+03
1.290000000000000000e+02 3.558205728054308565e+02 1.262190596123824449e+01 5.131441479052375257e+07 1.858659600437107883e+03 1.598469446929472269e+03
1.310000000000000000e+02 3.578985616907833105e+02 1.256920316023214923e+01 5.888154429510029405e+07 1.992850038750551448e+03 1.590467096757118270e+03
1.330000000000000000e+02 3.600152468417887803e+02 1.251603711042440814e+01 6.010401002776387334e+07 1.961438072385037458e+03 3.774108400040605375e+03
1.350000000000000000e+02 3.611218095460216091e+02 1.248845347987534993e+01 5.984252893780697882e+07 1.945401386734904236e+03 3.771107518725959380e+03
1.370000000000000000e+02 3.632097552362910733e+02 1.243676089373322036e+01 6.291035166201367229e+07 1.997502287436817824e+03 3.755102818381284123e+03
1.390000000000000000e+02 3.653090022602489171e+02 1.238528759275933133e+01 6.349660225860427320e+07 2.002612827255874890e+03 3.735096942950358425e+03
1.410000000000000000e+02 3.673602815256713825e+02 1.233549592273133122e+01 6.484148111300023645e+07 1.988567262487552171e+03 3.706088423575577508e+03
1.430000000000000000e+02 3.693944507182858388e+02 1.228656321930752604e+01 6.650280205078189820e+07 2.096417231802977312e+03 3.684081960601534774e+03
1.450000000000000000e+02 3.712032919021027055e+02 1.224338653331448512e+01 6.727975063973009586e+07 2.005850035286877073e+03 3.661075203856005828e+03
1.470000000000000000e+02 3.732894549139604123e+02 1.219406551163733354e+01 6.627629613846330345e+07 1.923764827994856432e+03 3.640069034653570270e+03
1.490000000000000000e+02 3.753243247213994778e+02 1.214641655871350423e+01 6.723145158489774168e+07 1.959323893603130273e+03 3.612060809050305124e+03
1.510000000000000000e+02 3.773689001233888121e+02 1.209890045805996905e+01 6.814247168812234700e+07 2.005222816812695100e+03 5.759691536558158987e+03
1.530000000000000000e+02 3.794613303241919198e+02 1.205074641093467669e+01 7.191146344972902536e+07 2.018678961004653274e+03 5.744687129985049978e+03
1.550000000000000000e+02 3.814839305729847183e+02 1.200464603113568707e+01 7.762657402416454256e+07 2.309034131522289044e+03 5.723680960782501643e+03
1.570000000000000000e+02 3.822243514212049718e+02 1.198785290385958646e+01 7.771484471058379114e+07 2.303411557621747306e+03 5.713678023067102004e+03
1.590000000000000000e+02 3.832780279385787594e+02 1.196410892080139732e+01 7.705281456244419515e+07 2.309694467223499942e+03 5.707676260437776364e+03
1.610000000000000000e+02 3.843228543411638043e+02 1.194057600402175545e+01 7.940364614508189261e+07 2.400447844713653467e+03 5.689670972550040460e+03
1.630000000000000000e+02 3.853372270414658942e+02 1.191789870041856503e+01 7.666475663913291693e+07 2.069186194103948765e+03 5.673666272205256973e+03
1.650000000000000000e+02 3.863748694308631570e+02 1.189480399597840865e+01 7.563715261044982076e+07 1.870267920309585179e+03 5.664663628261376289e+03
1.670000000000000000e+02 3.874163429566992818e+02 1.187168233556551300e+01 7.657065675644098222e+07 1.875376030024428928e+03 5.647658634145042015e+03
1.690000000000000000e+02 3.884535625966740895e+02 1.184879133292584896e+01 7.671305569396610558e+07 1.665236921162036879e+03 5.633654521343475608e+03
1.710000000000000000e+02 3.895062823407441783e+02 1.182566429671410546e+01 7.645490557330816984e+07 1.559522031932302980e+03 5.622651289856476069e+03
1.730000000000000000e+02 3.905585762198519433e+02 1.180262080247955936e+01 7.673137602510908246e+07 1.541297477146685878e+03 5.614648939684076140e+03
1.750000000000000000e+02 3.915875780387637519e+02 1.178021513902468698e+01 7.602271230678680539e+07 1.551934273981346678e+03 5.599644533110895281e+03
1.770000000000000000e+02 3.926127542419735619e+02 1.175798887347849231e+01 7.722186125435931981e+07 1.539546796811928971e+03 5.580638951451544017e+03
1.790000000000000000e+02 3.936247363053157073e+02 1.173609737011811482e+01 7.927457108475291729e+07 1.522991805785601400e+03 5.566634838649957601e+03
1.810000000000000000e+02 3.946848875756695634e+02 1.171337023005345657e+01 7.809041149902531505e+07 1.707255048314828628e+03 5.552630725848333896e+03
1.830000000000000000e+02 3.957416528004378051e+02 1.169070193922957301e+01 7.995991801798225939e+07 1.491367214077603649e+03 5.537626319275057540e+03
1.850000000000000000e+02 3.967437348333450586e+02 1.166934757328665917e+01 8.043957759701147676e+07 1.666267715313031431e+03 5.528623675331169579e+03
1.870000000000000000e+02 3.978137661635807376e+02 1.164668594080527164e+01 8.179694758627797663e+07 1.667261412575395298e+03 5.517620443844214606e+03
1.890000000000000000e+02 3.988945523319395079e+02 1.162379259788211172e+01 8.220166035608382523e+07 1.651081786033828848e+03 5.507617506128768582e+03
1.910000000000000000e+02 3.999281991628391779e+02 1.160208738330161538e+01 8.243649369164909422e+07 1.635041275140964217e+03 5.502616037270976449e+03
1.930000000000000000e+02 4.010998456916300938e+02 1.157754494057382466e+01 8.318346355690696836e+07 1.620375104678003026e+03 5.499615155956294984e+03
1.950000000000000000e+02 4.021352016103963933e+02 1.155596356356305954e+01 8.385881758224236965e+07 1.809242819821724424e+03 5.490612512012469779e+03
1.970000000000000000e+02 4.031638446574676209e+02 1.153463793152280381e+01 8.404951557459940016e+07 1.608977032098432801e+03 5.481609868068562719e+03
1.990000000000000000e+02 4.043090439735789801e+02 1.151096461114310543e+01 8.467906877207383513e+07 1.595926213313901371e+03 5.472607224124592904e+03
2.010000000000000000e+02 4.055002706037382723e+02 1.148647615838931735e+01 8.535858650903317332e+07 1.574936207586062210e+03 5.469606342810059687e+03
2.030000000000000000e+02 4.066786463928434614e+02 1.146237463053926753e+01 8.422522420511141419e+07 1.442294891533762211e+03 5.462604286409182350e+03
2.050000000000000000e+02 4.077964290649994155e+02 1.143959905675949607e+01 8.472820056923271716e+07 1.384408625330582026e+03 5.456602523779953117e+03
2.070000000000000000e+02 4.090505438694379450e+02 1.141420600511177064e+01 8.662685306955553591e+07 1.656799300677601423e+03 1.704600616090450785e+04
2.090000000000000000e+02 4.102532097772409543e+02 1.138992811136560768e+01 8.776854279672269523e+07 1.409648070786076005e+03 3.302469886756989581e+04
2.110000000000000000e+02 4.114743082547577160e+02 1.136543788183005610e+01 8.784265686362086236e+07 1.399247343542226417e+03 4.129912894579286512e+04
2.130000000000000000e+02 4.126304832342733562e+02 1.134236466673045385e+01 8.945234777727298439e+07 1.427214250839510669e+03 4.128012336413406592e+04
2.150000000000000000e+02 4.137181567044878534e+02 1.132071954007931680e+01 8.997114624556274712e+07 1.412619106282241319e+03 4.123010867555671575e+04
2.170000000000000000e+02 4.147516952504265646e+02 1.130026449066556538e+01 8.999696125762809813e+07 1.361064963226301415e+03 4.111607518560033350e+04
2.190000000000000000e+02 4.157939896694841764e+02 1.127974421764371904e+01 9.059487024676531553e+07 1.369048664239632672e+03 4.101404522090290266e+04
2.210000000000000000e+02 4.168142986429502912e+02 1.125967717050603234e+01 9.100208124354501069e+07 1.356184947816726435e+03 4.087300379911498749e+04
2.230000000000000000e+02 4.178255881751302354e+02 1.123992422045469119e+01 9.195640394765380025e+07 1.318519148436272417e+03 4.071595767698197596e+04
