# 		 Time[MYR]		 redshift		 total_counts		 gc_counts		 total_masses[Msun]		 gc_masses[Msun]		  gc_core_masses[Msun]
3.401899999999999977e+02 1.303552517875448835e+01 1.650000000000000000e+02 1.650000000000000000e+02 1.650484723049853073e+03 1.630478847618951022e+03 9.602820206835509680e+02
3.496499999999999773e+02 1.278156570913416168e+01 1.650000000000000000e+02 1.650000000000000000e+02 1.623476791218132803e+03 1.623476791218135986e+03 6.421886013321264954e+02
3.600199999999999818e+02 1.251603711042440814e+01 3.840000000000000000e+02 1.640000000000000000e+02 3.774108400040605375e+03 1.573462102640839930e+03 8.232417739818232576e+02
3.693899999999999864e+02 1.228656321930752604e+01 3.840000000000000000e+02 1.520000000000000000e+02 3.684081960601534774e+03 1.417416274279766640e+03 7.492200348874694100e+02
3.794599999999999795e+02 1.205074641093467669e+01 6.010000000000000000e+02 3.670000000000000000e+02 5.744687129985049978e+03 3.587053464761699615e+03 1.895556697078472098e+03
3.853399999999999750e+02 1.191789870041856503e+01 6.010000000000000000e+02 3.540000000000000000e+02 5.673666272205256973e+03 3.377992066508660173e+03 1.129331668074706158e+03
3.905600000000000023e+02 1.180262080247955936e+01 6.010000000000000000e+02 4.790000000000000000e+02 5.614648939684076140e+03 4.388288775769469794e+03 1.344394828956956644e+03
3.957400000000000091e+02 1.169070193922957301e+01 6.010000000000000000e+02 3.630000000000000000e+02 5.537626319275057540e+03 3.367989128793202326e+03 1.603470915787196191e+03
4.011000000000000227e+02 1.157754494057382466e+01 6.010000000000000000e+02 5.020000000000000000e+02 5.499615155956294984e+03 4.560339304475228346e+03 2.018592830978501752e+03
4.066800000000000068e+02 1.146237463053926753e+01 6.010000000000000000e+02 5.490000000000000000e+02 5.462604286409182350e+03 4.987464744925139712e+03 2.654779669681371615e+03
4.126299999999999955e+02 1.134236466673045385e+01 4.186000000000000000e+03 2.810000000000000000e+02 4.128012336413406592e+04 2.441717096342231343e+03 5.251542300613157295e+02
4.178299999999999841e+02 1.123992422045469119e+01 4.186000000000000000e+03 3.480000000000000000e+03 4.071595767698197596e+04 3.366688746890152106e+04 1.709702114325314687e+04
4.229700000000000273e+02 1.114060900856607716e+01 4.186000000000000000e+03 2.859000000000000000e+03 4.013278640817153791e+04 2.742305374691602992e+04 1.082417890189237914e+04
4.257300000000000182e+02 1.108799908467865336e+01 4.186000000000000000e+03 3.345000000000000000e+03 3.985270415213883098e+04 3.181134252268566706e+04 1.372102966428775107e+04
4.273899999999999864e+02 1.105673849866174763e+01 4.186000000000000000e+03 7.240000000000000000e+02 3.968665538606190967e+04 6.663957106035152719e+03 2.322682137528311159e+03
4.280699999999999932e+02 1.104394540059764829e+01 4.186000000000000000e+03 4.500000000000000000e+02 3.961863540959675447e+04 4.095202700706677206e+03 6.091789068711193522e+02
4.302500000000000000e+02 1.100328856920170040e+01 5.433000000000000000e+03 3.997000000000000000e+03 5.188823881137247372e+04 3.810419063947733230e+04 1.069714159290608222e+04
4.322200000000000273e+02 1.096675804516386954e+01 5.829000000000000000e+03 4.744000000000000000e+03 5.568135279307272140e+04 4.519827406727719790e+04 1.535751027453598363e+04
4.343700000000000045e+02 1.092737069294648400e+01 5.829000000000000000e+03 4.359000000000000000e+03 5.537726348652270826e+04 4.133413922779726272e+04 1.396610163831632417e+04
4.364700000000000273e+02 1.088903416410841629e+01 6.185000000000000000e+03 4.474000000000000000e+03 5.855019532986406557e+04 4.208435955645563081e+04 1.481435075658665664e+04
4.385600000000000023e+02 1.085134473294100488e+01 6.749000000000000000e+03 4.825000000000000000e+03 6.388776289483084111e+04 4.549636161119743338e+04 1.372202995805930368e+04
4.407500000000000000e+02 1.081212885683533287e+01 6.749000000000000000e+03 3.788000000000000000e+03 6.361068152011152415e+04 3.507029963037980633e+04 1.024600910193896016e+04
4.428799999999999955e+02 1.077412624647555361e+01 7.330000000000000000e+03 5.556000000000000000e+03 6.898125877953920281e+04 5.216632047986257385e+04 2.283170533552272173e+04
4.450600000000000023e+02 1.073576356964092682e+01 7.330000000000000000e+03 4.831000000000000000e+03 6.862415390309799113e+04 4.439103699364019849e+04 1.320287749062722651e+04
4.472500000000000000e+02 1.069751057229978564e+01 9.802000000000000000e+03 5.447000000000000000e+03 9.299631164680029906e+04 5.048382635612297599e+04 2.144429787438936182e+04
4.494200000000000159e+02 1.065974889113279112e+01 1.476600000000000000e+04 9.566000000000000000e+03 1.422977907649549306e+05 9.122379108362024999e+04 3.717291713816819538e+04
4.516299999999999955e+02 1.062169478358843833e+01 1.657900000000000000e+04 8.335000000000000000e+03 1.600540055036581180e+05 8.042061835093144327e+04 3.036291714148780011e+04
4.537400000000000091e+02 1.058571849672714471e+01 1.833000000000000000e+04 1.137200000000000000e+04 1.768539393967626966e+05 1.094461427198684978e+05 4.886635132753391372e+04
4.558199999999999932e+02 1.055041255888803420e+01 2.748900000000000000e+04 1.072600000000000000e+04 2.676956182596539147e+05 1.023520592920636554e+05 3.847529962872061878e+04
4.579200000000000159e+02 1.051520613899804957e+01 3.173700000000000000e+04 1.444000000000000000e+04 3.093348470877679065e+05 1.394969682046310627e+05 5.604145855082782509e+04
4.598199999999999932e+02 1.048342771667595485e+01 3.773500000000000000e+04 2.036400000000000000e+04 3.680560926525674877e+05 1.981301879175353097e+05 7.390470472308491298e+04
4.619200000000000159e+02 1.044861738270917684e+01 4.041300000000000000e+04 1.868400000000000000e+04 3.934275438740432146e+05 1.812682358105953608e+05 6.043975026431291190e+04
4.639900000000000091e+02 1.041451256573433426e+01 4.145700000000000000e+04 2.577300000000000000e+04 4.018630212494931184e+05 2.492081887739529775e+05 9.111876023761049146e+04
4.660899999999999750e+02 1.038023274844990596e+01 4.203700000000000000e+04 2.506900000000000000e+04 4.057101510948553332e+05 2.405096341365952976e+05 8.953429490348235413e+04
4.681499999999999773e+02 1.034680722488480775e+01 4.203700000000000000e+04 2.184900000000000000e+04 4.035335118479702505e+05 2.084232108267383883e+05 7.837001611926408077e+04
4.702599999999999909e+02 1.031291659173519903e+01 4.203700000000000000e+04 1.916200000000000000e+04 4.014498999218437821e+05 1.824675880426760996e+05 6.085287159196216089e+04
4.723199999999999932e+02 1.027996602226223466e+01 4.203700000000000000e+04 2.497000000000000000e+04 3.994723191354954033e+05 2.354711544093202392e+05 8.506198145090239996e+04
4.744200000000000159e+02 1.024672659492984650e+01 4.203700000000000000e+04 2.350700000000000000e+04 3.972616699003821122e+05 2.207108195164042409e+05 8.511099584570850129e+04
4.765000000000000000e+02 1.021408583812321780e+01 4.203700000000000000e+04 2.381300000000000000e+04 3.952790876451755757e+05 2.224493300913457933e+05 7.638143210143146280e+04
4.785500000000000114e+02 1.018190910081453637e+01 4.203700000000000000e+04 1.983600000000000000e+04 3.932634956955109374e+05 1.841220739408107765e+05 6.313554197862782894e+04
4.806700000000000159e+02 1.014907798829733565e+01 4.203700000000000000e+04 2.004200000000000000e+04 3.912999190219726879e+05 1.853534355735838180e+05 6.078885279058324522e+04
4.827599999999999909e+02 1.011683717806284299e+01 4.203700000000000000e+04 2.086500000000000000e+04 3.891672927010355052e+05 1.913501967339976691e+05 6.277043475201419642e+04
4.848199999999999932e+02 1.008546090471814338e+01 4.203700000000000000e+04 2.134400000000000000e+04 3.871917125022305991e+05 1.949912660624209093e+05 5.665863980787165201e+04
4.868500000000000227e+02 1.005454533736745049e+01 4.203700000000000000e+04 2.081800000000000000e+04 3.853991860636262572e+05 1.896967111296345829e+05 5.714578287461498985e+04
4.889499999999999886e+02 1.002288289987578551e+01 4.203700000000000000e+04 2.055600000000000000e+04 3.836516728447348578e+05 1.855815025534960732e+05 6.813400995504047023e+04
4.908399999999999750e+02 9.994706653808380636e+00 4.203700000000000000e+04 2.142900000000000000e+04 3.821722383566165227e+05 1.933617875085757696e+05 6.706669650080110296e+04
4.929300000000000068e+02 9.963538721654055408e+00 4.203700000000000000e+04 1.821100000000000000e+04 3.807378170882223640e+05 1.635630360542413546e+05 5.710377053620968945e+04
4.950099999999999909e+02 9.932924006641909997e+00 4.203700000000000000e+04 1.997200000000000000e+04 3.797385236104518990e+05 1.789505551419241237e+05 5.387282165411866299e+04
4.970600000000000023e+02 9.902723256276930286e+00 4.203700000000000000e+04 1.955800000000000000e+04 3.790803303087676759e+05 1.745832725353534915e+05 5.479209163016779348e+04
4.992099999999999795e+02 9.871456236075353274e+00 4.203700000000000000e+04 1.911100000000000000e+04 3.786652083935831906e+05 1.702079875786162738e+05 4.993666566308759502e+04
5.013500000000000227e+02 9.840564822632595465e+00 4.203700000000000000e+04 1.964000000000000000e+04 3.785031608025878668e+05 1.753845078463616373e+05 6.310253228416683851e+04
5.037400000000000091e+02 9.806110237174820554e+00 4.203700000000000000e+04 1.923500000000000000e+04 3.784521458202399663e+05 1.718564717141214642e+05 5.304357811750691326e+04
5.059800000000000182e+02 9.774358740493388709e+00 4.203700000000000000e+04 1.425200000000000000e+04 3.784441434700705577e+05 1.269012690333295759e+05 3.701887189735067659e+04
5.081299999999999955e+02 9.743836344966702256e+00 4.203700000000000000e+04 1.286700000000000000e+04 3.784441434700673562e+05 1.145766494741181668e+05 3.123917448536131997e+04
5.110099999999999909e+02 9.703516037311267439e+00 4.203700000000000000e+04 1.620800000000000000e+04 3.784441434700679965e+05 1.444834326557829336e+05 4.116008811154818250e+04
5.143799999999999955e+02 9.656763122905513086e+00 4.203700000000000000e+04 1.742600000000000000e+04 3.784441434700657846e+05 1.550975498656497512e+05 5.090995150280043163e+04
5.180000000000000000e+02 9.607052152678832613e+00 4.203700000000000000e+04 9.880000000000000000e+03 3.784441434700729442e+05 8.804585777142255392e+04 2.267766009470499193e+04
5.200900000000000318e+02 9.578566870651281207e+00 4.203700000000000000e+04 1.683200000000000000e+04 3.784441434700659011e+05 1.498940216660715814e+05 4.593148940181924991e+04
5.223099999999999454e+02 9.548620938723413332e+00 4.203700000000000000e+04 1.697500000000000000e+04 3.784441434700664831e+05 1.512534209016013774e+05 3.967465186080316926e+04
