# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
5.206699999999999591e+02 6.176599999999996271e+01 6.439591213078347209e+04 2.358692713303931669e+03 1.072083332849606307e+01 3.296516592521030464e-01 4.304891286497029151e-02 1.616722219463523125e+00 5.989223528905163879e-02 9.133404914708367869e+03 1.107455686920616472e+03 6.536446902753911559e+01 6.036496639883197624e+00
0.000000000000000000e+00 6.653199999999998226e+01 2.660281285425017268e+04 9.362749701664463373e+02 9.377725897804436883e+00 1.595390180770960564e-01 2.368758494716914631e-02 1.783975613372769775e+00 5.573973441445820298e-02 1.729641512598721602e+04 2.892265767124530157e+03 2.412230849520821607e+01 2.413747326433477447e+00
0.000000000000000000e+00 6.421799999999996089e+01 1.480034664378474190e+04 1.521446826520475497e+03 2.970234204783731461e+09 2.580693423766203809e-01 3.041922896759226974e-02 1.914711836982639248e+00 6.116090718362061224e-02 8.171493894687685497e+03 1.111252592458087975e+03 8.898396101283685255e-16 1.537635260067402587e+00
0.000000000000000000e+00 6.697199999999997999e+01 1.590767184888542033e+04 2.088613394986688036e+03 6.544533843669211315e+00 2.744059326876284177e-01 2.684997426245447349e-02 2.315219236037539208e+00 7.398823967168728644e-02 9.737133870104442394e+03 1.260077426985219290e+03 1.258925446325565467e+01 1.206135469389802095e+00
0.000000000000000000e+00 6.176599999999996271e+01 6.072283340166827838e+04 7.742273791760995891e+02 2.289999394548507983e+00 1.403114795448140717e-01 2.330064581735289894e-02 1.944360879470148573e+00 8.460004500185587528e-02 1.719231728492789989e+04 3.391902404096550526e+03 1.501259192705116163e+02 3.165809344719300533e+00
0.000000000000000000e+00 6.525499999999999545e+01 1.360299499924498195e+04 1.242364864259322758e+03 5.334775030589838982e+09 1.756508438099931291e-01 2.427053829342116706e-02 1.870411214183443471e+00 5.407536955125727407e-02 1.294599598985984085e+04 2.189320455008165027e+03 6.406838099023320129e-16 1.328009647401526383e+00
0.000000000000000000e+00 6.463700000000000045e+01 1.514244711365324474e+04 1.008296121717711458e+03 4.610718949508274100e+00 1.674083186591580619e-01 2.283557460902168115e-02 2.148250879689866277e+00 7.883879720029268734e-02 1.426464682377200552e+04 2.508894492910315876e+03 2.298675682188412850e+01 1.365524361206569282e+00
0.000000000000000000e+00 6.778699999999999193e+01 7.229123086958139538e+03 7.922326670639162103e+02 3.170814933639063415e+00 1.366406309263988594e-01 1.815737047861149325e-02 2.523594262327046867e+00 1.088155125217948327e-01 1.620712162146406627e+04 3.154957748124543741e+03 1.159799086425128500e+01 7.249925056012802571e-01
0.000000000000000000e+00 8.293899999999996453e+01 1.173944770285603227e+04 7.832300231200074450e+02 1.586239000808765454e+00 1.550919524533000138e-01 1.966953350275944465e-02 2.871126184629586575e+00 1.847703798278960974e-01 1.158582407021877407e+04 2.179265089159406671e+03 2.918808220751800775e+01 9.853823251327867849e-01
0.000000000000000000e+00 6.535299999999995180e+01 1.697898647821060877e+04 5.131507048027639257e+02 1.581975867930168178e+01 1.269788473097475667e-01 2.506488987319474213e-02 1.677112119140904190e+00 6.021553447182961816e-02 1.333469752975763731e+04 2.958779284462245869e+03 8.157268083253651270e+00 1.992622288993990631e+00
0.000000000000000000e+00 8.583199999999999363e+01 4.717385426607816044e+03 6.842009397370179613e+02 1.414375034317926438e+00 1.492818077127364140e-01 1.915727422899419705e-02 3.342965175098694175e+00 2.704985370274446965e-01 9.565931479527644115e+03 1.967192216634622582e+03 1.039735341454061057e+01 5.612009714433614516e-01
0.000000000000000000e+00 6.653199999999998226e+01 3.165329610678356403e+04 7.922326670639154145e+02 1.058312826636968573e+00 1.613192694813602446e-01 2.161379778173055932e-02 2.969515133479911473e+00 2.419889169931568884e-01 1.019934523187098057e+04 1.957121426490072508e+03 7.622490509344449094e+01 1.535831380469502960e+00
0.000000000000000000e+00 6.006199999999995498e+01 1.241464599864912998e+04 7.202115155126510899e+02 5.673265609587406111e+00 2.037721117656061121e-01 3.317206861368043880e-02 2.061574132657254754e+00 9.312914459750712415e-02 7.806656012348388685e+03 1.552660127188162051e+03 1.639481771737317573e+01 1.402779861303679265e+00
0.000000000000000000e+00 5.715400000000000347e+01 4.429300820402761019e+03 5.041480608588557288e+02 1.104449211858539570e+01 1.126247312996624117e-01 1.737585384661155183e-02 2.279524625964872708e+00 7.843694897162654944e-02 1.853934708775300169e+04 4.175700071225195643e+03 1.070067790774360761e+00 4.030530344281187394e-01
0.000000000000000000e+00 9.059799999999995634e+01 2.790819622611511022e+03 2.520740304294278076e+02 9.176175891214288782e+00 7.185092669306462898e-02 1.708635027409922610e-02 2.271811872391729548e+00 9.700345038239877038e-02 2.630305568577458689e+04 9.650675384071719236e+03 8.631220624279750675e-01 3.189012025998780309e-01
0.000000000000000000e+00 6.656499999999999773e+01 1.128931550566064107e+04 7.112088715687434615e+02 1.252091313971930964e+00 3.344967335778420425e-01 4.167762447593185982e-02 3.702320855416511680e+00 4.745827538812333324e-01 2.074903756729855559e+03 3.964726698454934990e+02 3.107633402101878062e+01 9.758215656085461598e-01
0.000000000000000000e+00 1.455029999999999859e+02 2.043600175267150007e+03 1.710502349342545756e+02 2.630686683584072316e+00 7.441501513085391206e-02 2.732305848843924120e-02 2.483133639762381772e+00 2.129879960826296936e-01 1.151988260211213856e+04 6.755805043766035851e+03 3.292385043506120379e+00 3.711785508969437930e-01
0.000000000000000000e+00 1.120129999999999768e+02 5.482610161839994362e+03 4.231242653636825253e+02 9.660931707933645418e-01 1.361737781906499634e-01 1.921604193460124330e-02 3.640134386692642998e+00 3.777053873105401527e-01 8.570298016413333244e+03 2.149729894974888794e+03 1.368345654600673811e+01 6.418255084792759968e-01
0.000000000000000000e+00 6.535299999999995180e+01 1.665489129622985274e+04 6.211824321296611515e+02 1.726667684313325957e+00 1.978355115732970959e-01 3.048814583631778360e-02 2.650218553725327553e+00 2.025067361234242358e-01 5.163241769361770821e+03 1.069417155250426731e+03 3.303378648880561741e+01 1.076630938975803087e+00
