# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
6.441798712328702550e+02 8.172319169429977492e+00 1.531949999999999363e+02 3.961163335319609473e+02 1.048220566517829773e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.861679999999999495e+02 1.890555228220721915e+02 2.255377765916606967e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.269549999999999272e+02 2.430713864855214865e+02 3.956979170580933468e+33
0.000000000000000000e+00 0.000000000000000000e+00 5.152400000000000091e+01 9.002643943908198310e+01 9.341891710623014369e+33
0.000000000000000000e+00 0.000000000000000000e+00 5.051799999999991542e+01 6.211824321296660401e+02 6.382747455690681654e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.091800000000000637e+01 9.002643943908202573e+01 6.276353615064420144e+33
0.000000000000000000e+00 0.000000000000000000e+00 5.303999999999996362e+01 1.269372796091056216e+03 1.259570122266374431e+35
0.000000000000000000e+00 0.000000000000000000e+00 5.303999999999996362e+01 8.102379549517380042e+01 7.461469469414173742e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.247349999999999568e+02 2.520740304294295981e+02 4.175023222459030652e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.994299999999998363e+01 9.002643943908202573e+01 5.809510293784886453e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.156259999999999764e+02 1.800528788781640515e+02 4.620964704198350053e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.507399999999995543e+01 7.132094591118384415e+02 3.063545789762033179e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.507399999999995543e+01 1.510443595033487156e+02 4.813904615961110585e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.507399999999995543e+01 1.210355463569880214e+02 4.290008071525607550e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.083599999999989905e+01 1.170343712708066590e+02 1.219597722641460820e+34
0.000000000000000000e+00 0.000000000000000000e+00 4.778099999999994907e+01 1.530449470464394039e+02 1.727896504830962316e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.083599999999989905e+01 1.350396591586230386e+02 1.412951735213883770e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.083599999999989905e+01 7.202115155126563195e+01 6.793107202349746660e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.216439999999999486e+02 1.620475909903476008e+02 8.381994615083138939e+33
0.000000000000000000e+00 0.000000000000000000e+00 4.778099999999994907e+01 5.096496766023587952e+03 5.516982462856270087e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.778099999999994907e+01 2.430713864855214297e+02 2.724079172953608954e+34
0.000000000000000000e+00 0.000000000000000000e+00 4.778099999999994907e+01 7.202115155126560353e+01 7.112954587733694845e+33
0.000000000000000000e+00 0.000000000000000000e+00 4.778099999999994907e+01 1.980581667659803884e+02 2.227390920737293387e+34
0.000000000000000000e+00 0.000000000000000000e+00 4.778099999999994907e+01 7.202115155126563195e+01 7.091458950416916787e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.002389999999999191e+02 1.260370152147148133e+02 1.023194785601810037e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.507399999999995543e+01 7.802291418053775374e+01 3.155551374785746893e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.496399999999994179e+01 1.310384840724415767e+02 4.030616632268499323e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.223839999999999577e+02 4.231242653636855380e+02 7.086769185292032543e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.496399999999994179e+01 7.702262040899239537e+01 2.843546161265147078e+34
