# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
5.464538315439145890e+02 9.235652230272174634e+00 1.045059999999999718e+02 2.070608107098896653e+02 8.886440472243661718e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.455699999999995953e+01 1.872549940332916321e+03 9.170470285103228897e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.731799999999992679e+01 7.202115155126595880e+01 3.664302335755271590e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.710799999999994725e+01 4.281657459722761268e+04 2.193433113797720392e+36
0.000000000000000000e+00 0.000000000000000000e+00 8.710799999999994725e+01 7.202115155126597301e+01 3.747218249800509922e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.710799999999994725e+01 1.080317273268989311e+02 5.401029470901741325e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.520699999999993679e+01 7.202115155126597301e+01 3.872300547686124068e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.739999999999997726e+01 7.202115155126595880e+01 3.589188954517487443e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.710799999999994725e+01 7.202115155126597301e+01 3.644027063642220275e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.700699999999996237e+01 1.170343712708071990e+02 6.050695833694028602e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.710799999999994725e+01 8.102379549517422674e+01 4.297763462919237984e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.602399999999994407e+01 7.202115155126597301e+01 3.806661493705213188e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.540399999999993952e+01 9.002643943908245205e+01 4.596902541249482996e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.373549999999999613e+02 7.202115155126597301e+01 2.496438037488506699e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.731799999999992679e+01 9.002643943908243784e+01 4.424892164720688951e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.360359999999999445e+02 8.102379549517425517e+01 2.511353611296919802e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.011729999999999450e+02 9.812881898859989178e+02 4.415946714262881305e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.540399999999993952e+01 5.095496472252067178e+03 2.773351867076937540e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.540399999999993952e+01 1.800528788781649610e+02 8.704862762969829700e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.690499999999997272e+01 7.742273791761087978e+02 4.095582890977329500e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.681399999999996453e+01 1.170343712708071848e+02 6.005360187225928654e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.373549999999999613e+02 9.812881898859989178e+02 2.959771170062185573e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.626799999999997226e+01 5.311559926905863449e+02 2.532459082019504003e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.700699999999996237e+01 7.202115155126597301e+01 3.549200006421012003e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.540399999999993952e+01 7.202115155126597301e+01 3.471584928136057658e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.997899999999992815e+01 6.175813745521056262e+03 3.129432679454888381e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.697899999999992815e+01 8.102379549517421253e+01 4.057396571383097381e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.697899999999992815e+01 1.080317273268989027e+02 4.753492517121622388e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.540399999999993952e+01 8.102379549517422674e+01 3.698897053662140081e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.690499999999997272e+01 8.102379549517421253e+01 4.056272928273244142e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.690499999999997272e+01 8.102379549517422674e+01 4.104814313591854320e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.579099999999993997e+01 8.102379549517419832e+01 3.323961653766746124e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.997899999999992815e+01 9.902908338299072000e+01 4.811593415947621517e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.949099999999992860e+01 1.289178612767660888e+04 5.811176578448840817e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.356599999999999682e+02 8.102379549517421253e+01 3.141017232915306045e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.825299999999992906e+01 1.269372796091061900e+03 6.610268688248231292e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.955999999999994543e+01 1.037104582338230102e+04 5.376450454222302614e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.676399999999995316e+01 9.902908338299064326e+02 5.264931015549017593e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.117799999999994043e+01 6.842009397370263741e+02 3.940096398193021447e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.117799999999994043e+01 8.102379549517419832e+01 4.221121963203357884e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.069499999999993634e+01 9.002643943908246911e+02 4.611971430318741716e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.213299999999992451e+01 1.053309341437263811e+03 5.241625774770577055e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.879259999999999309e+02 2.430713864855226234e+02 4.856951470847755920e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.181729999999999450e+02 1.719504993286473564e+03 6.368444483777835455e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.427499999999997726e+01 7.022062276248427679e+02 3.454637956193623042e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.249699999999995725e+01 3.303970327414324856e+03 1.941038625486558000e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.708449999999999704e+02 7.292141594565674723e+02 1.692329865991772885e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.687599999999997635e+01 4.771401290271370499e+02 2.287094610034030098e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.059699999999992315e+01 9.884903050411252480e+03 5.051942274291667095e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.932899999999995089e+01 7.202115155126594459e+01 3.376082630562214842e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.190699999999992542e+01 1.521446826520494369e+03 7.549972511401949921e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.932899999999995089e+01 7.202115155126597301e+01 3.381389126129094502e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.062799999999992906e+01 1.080317273268989311e+02 5.541179295541903445e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.583199999999993679e+01 8.642538186151911077e+02 4.180913987381486929e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.274899999999996680e+01 8.552511746712832519e+02 4.245671532783907433e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.170719999999999459e+02 3.925152759543992943e+03 1.463815998099293461e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.829099999999993997e+01 9.272723262225496228e+02 4.820557673274476594e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.035689999999999600e+02 2.133626614706252440e+03 9.290079437709863987e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.824999999999931788e+00 3.793113981700008480e+03 6.014489540597479581e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.362509999999999764e+02 9.902908338299067736e+01 4.620628104004167977e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.231399999999996453e+01 5.014472676756893634e+03 2.528743258708248313e+35
0.000000000000000000e+00 0.000000000000000000e+00 3.483999999999923602e+00 2.229654816774608662e+03 7.182983404562101272e+36
0.000000000000000000e+00 0.000000000000000000e+00 2.701999999999998181e+00 4.531330785100483808e+03 1.267938537794374131e+37
0.000000000000000000e+00 0.000000000000000000e+00 7.639999999999986358e+00 2.341687719187689709e+03 2.767045114234039930e+36
0.000000000000000000e+00 0.000000000000000000e+00 2.701999999999998181e+00 1.000293771545360642e+02 2.798981319634380661e+35
0.000000000000000000e+00 0.000000000000000000e+00 7.507999999999924512e+00 6.462898057954576871e+03 7.810176751055483328e+36
0.000000000000000000e+00 0.000000000000000000e+00 9.129999999999995453e+00 4.041186837043257469e+02 3.844817302528769470e+35
0.000000000000000000e+00 0.000000000000000000e+00 7.639999999999986358e+00 1.190349588138979584e+02 1.400171540473155876e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.129999999999995453e+00 1.765518506777561925e+03 1.649196882219612083e+36
0.000000000000000000e+00 0.000000000000000000e+00 9.834099999999995134e+01 3.294967683470419615e+03 1.532900432127572277e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.238799999999997681e+01 3.871136895880547968e+02 1.918294463517321087e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.669199999999995043e+01 9.002643943908245205e+01 4.647760090885670968e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.550749117440669579e+03 5.052893915802965648e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.390408342448051371e+03 2.754322565869068063e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 8.511499702079472627e+03 1.684333453273245145e+37
0.000000000000000000e+00 0.000000000000000000e+00 8.700699999999996237e+01 7.202115155126598722e+01 3.649531156966945452e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.690499999999997272e+01 7.202115155126595880e+01 3.560142324291795106e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.579099999999993997e+01 1.080317273268989027e+02 5.417435788204458517e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.602399999999994407e+01 2.790819622611556383e+02 1.487916055713826690e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.620769681448846313e+03 5.191600807609322137e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.159399999999999409e+02 1.944571091884180078e+03 7.352816897541560905e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.817999999999994998e+01 1.854544652445098563e+03 8.667966803126167952e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.231399999999996453e+01 1.260370152147154243e+02 6.074562248191056791e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.082809999999999491e+02 2.214650410201426894e+03 8.958433981709131441e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.754799999999994498e+01 9.002643943908243784e+01 4.476305781341049043e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.362569999999999482e+02 9.452776141103663576e+02 2.863665299512759415e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.540399999999993952e+01 8.102379549517422674e+01 3.822282898590480507e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.820299999999997453e+01 7.202115155126594459e+01 2.724300366376879793e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.356599999999999682e+02 1.080317273268989595e+02 4.881952389829415476e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.710799999999994725e+01 7.202115155126597301e+01 3.658573354257384216e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.999599999999992406e+01 7.202115155126597301e+01 3.103315734792223397e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.997899999999992815e+01 7.202115155126595880e+01 3.535456237780049218e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.912699999999995271e+01 7.202115155126597301e+01 3.583098799827326757e+33
0.000000000000000000e+00 0.000000000000000000e+00 8.382199999999994589e+01 2.088613394986713956e+03 1.128517033204234880e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.949099999999992860e+01 7.202115155126595880e+01 3.132535617417605411e+33
0.000000000000000000e+00 0.000000000000000000e+00 9.312899999999996226e+01 3.006883077265354586e+03 1.495591106114189454e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.069499999999993634e+01 5.356573146625407389e+03 2.713012074673434069e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.255699999999995953e+01 9.632829019981816145e+02 4.785135019528732074e+34
0.000000000000000000e+00 0.000000000000000000e+00 9.181899999999995998e+01 7.202115155126594459e+01 3.544728998512085372e+33
