# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
5.270700000000000500e+02 8.054000000000007731e+01 3.617262336662628513e+04 1.098322561156796382e+03 2.543174853633900945e+00 2.042483117857777364e-01 2.682195041640296138e-02 2.190250750125712909e+00 1.000175913220041762e-01 1.011962495823873178e+04 1.626249176510552843e+03 8.047530683927023176e+01 2.098538691503006870e+00
0.000000000000000000e+00 7.336300000000005639e+01 1.222559047582706808e+04 1.170343712708061730e+03 3.146539898088183573e+00 1.592073828155688153e-01 1.764158589246923869e-02 2.502203670608963648e+00 9.527928118399010826e-02 1.742256971137339497e+04 2.743533625123118782e+03 1.992338140205584196e+01 9.625652949743471742e-01
0.000000000000000000e+00 7.292300000000005866e+01 2.145330051833378820e+04 1.530449470464388241e+03 7.334435388690721425e+00 2.164824729790161828e-01 2.465079762995278645e-02 2.003145944700796210e+00 6.295771062641492000e-02 1.281986698263063045e+04 1.742154120698542329e+03 2.207183704190508422e+01 1.872488421083861487e+00
0.000000000000000000e+00 7.060900000000005150e+01 1.630378818241738372e+04 1.332391303698409047e+03 1.292757070430733002e+01 2.475518616285414253e-01 2.870903897344004307e-02 2.000247980287448435e+00 6.423589068114078648e-02 9.698420837457353628e+03 1.342990219952077496e+03 7.103044109948458917e+00 1.572167465819692467e+00
0.000000000000000000e+00 7.174400000000002819e+01 8.246421852619747369e+03 8.552511746712760896e+02 7.271509433553730695e+00 1.509043464932782186e-01 2.070971537327062281e-02 2.191873704764108144e+00 7.531291437203631312e-02 1.492058823544263032e+04 2.744978199456962102e+03 6.109036796307840689e+00 8.047741084730832828e-01
0.000000000000000000e+00 6.815700000000003911e+01 3.985470473968538863e+04 3.348983547133837874e+03 1.561689794320961866e+01 4.922533983978396588e-01 4.554099011627479876e-02 1.853487413854295385e+00 6.585890603554056533e-02 5.850067222773648609e+03 5.362578250370611386e+02 1.925919678216564179e+01 3.884219547388403804e+00
0.000000000000000000e+00 7.164600000000007185e+01 1.249566979414430898e+04 9.812881898859902776e+02 5.083873627504248047e+10 1.249180171326417371e-01 1.794669632811497426e-02 1.913291865446252515e+00 4.906834969421992876e-02 2.374341782445925492e+04 4.421268931033700028e+03 2.911240136138119925e-18 1.069547761605372571e+00
0.000000000000000000e+00 7.102800000000007685e+01 2.476627348969259037e+04 7.742273791761023176e+02 8.674620374158090730e-01 1.507559353903812349e-01 1.822108788305697516e-02 3.456108809932780801e+00 3.126731749884259504e-01 1.419257256753747242e+04 2.724866236469315027e+03 6.691233685199937042e+01 1.408061676961030573e+00
0.000000000000000000e+00 9.698900000000003274e+01 1.074015422508225311e+04 2.790819622611530235e+02 2.623743080821690832e+00 7.986658085363962378e-02 2.552699427061484727e-02 2.016435199179960946e+00 1.365151716393964987e-01 1.346968407370314708e+04 5.590906294400730985e+03 2.354888084182023889e+01 1.168934508852599086e+00
0.000000000000000000e+00 6.354500000000007276e+01 6.346863980455163983e+03 3.691084017002347650e+02 6.306111263097960773e+00 8.613066774406133441e-02 1.843660127189444137e-02 2.056357540058836086e+00 8.229569204317495335e-02 2.174858124099855195e+04 6.416230328115675547e+03 6.369498101185120831e+00 7.869941003310342298e-01
0.000000000000000000e+00 7.417800000000005411e+01 9.803879254915826095e+03 9.542802580542658006e+02 2.138538400853786658e+00 2.068302488685787310e-01 2.396693565563995376e-02 2.857916403949019024e+00 1.641312547176866088e-01 8.314508494206127580e+03 1.403174646698746983e+03 2.093893629870747830e+01 8.760781295979155336e-01
0.000000000000000000e+00 9.812100000000003774e+01 6.103792593969650625e+03 8.552511746712758622e+02 6.903015044069114481e+00 1.473186716800821694e-01 1.816537781471245713e-02 2.328553421884122177e+00 8.165667574063692480e-02 1.446561827148181692e+04 2.515382100905320385e+03 3.722273172508827610e+00 5.725854946222026509e-01
0.000000000000000000e+00 6.645300000000003138e+01 2.265965480681769259e+04 7.022062276248371973e+02 2.838340962682301960e+00 1.875483947070011870e-01 3.134627849813476086e-02 2.127743044285977714e+00 1.119536052259099829e-01 8.509357376267342261e+03 1.764599702618290394e+03 5.235470194745166594e+01 1.861978680391695118e+00
