# 		 Age[Myr] 			 Masses[Msun]			 CoreMass[Msun] 			  TruncRadii[pc]			  CoreRadii[pc] 			  FitAlpha			 FitSigma0 			  FitSigmaBg
3.180999999999983174e+00 5.693972235768302198e+04 2.097616038930596915e+03 1.551546225088919684e+01 1.681427689771520517e-01 1.692458089142278022e+00 3.195393830530156993e+04 3.016634939945345550e+01
6.767999999999972260e+00 1.917263071920941729e+04 1.917563160052434796e+03 2.826382386508914379e+00 1.878148861947530612e-01 2.604503126028246740e+00 2.055519665357009944e+04 3.521880574508453776e+01
1.519999999999998863e+01 6.348964597376458551e+04 1.014297884346984119e+03 1.812417360446072578e+01 1.359705825969902693e-01 1.431959527494785389e+00 2.195429712901985113e+04 3.976577509877228067e+01
6.069000000000016826e+00 1.580064041533007185e+04 1.882552878048346429e+03 6.957354498987276870e+00 2.066433847450786232e-01 2.246891743222098725e+00 1.592616232974150807e+04 1.178898615400968630e+01
8.387000000000000455e+00 2.026495151773702673e+04 1.801529082553174021e+03 2.844582551278111104e+00 1.779727022779133416e-01 2.588569811003207377e+00 2.198417351645040981e+04 3.365397241326891020e+01
3.314499999999998181e+01 5.919738540005302639e+03 8.832594002745428270e+02 1.105282346731770637e+01 1.328043723905512896e-01 2.412753058173142229e+00 2.307122934006027208e+04 1.073928485202631178e+00
3.180999999999983174e+00 5.650459456706118362e+04 1.250367214431685625e+03 1.152026464560260477e+00 1.741464503101884387e-01 2.758222697434119741e+00 1.237684555869878204e+04 1.342838995502567627e+02
1.519999999999998863e+01 5.877426113469807751e+04 1.137334018247061749e+03 4.728034820928076698e+00 1.594258116282441240e-01 1.736249793556102983e+00 1.849895618078433836e+04 1.025651999275798261e+02
9.201999999999998181e+00 3.052296414493590783e+04 1.187348706824329611e+03 1.209530799009214341e+00 1.393968672261971797e-01 3.024508100957615131e+00 2.428543144217832014e+04 7.041359053312962146e+01
1.964199999999999591e+01 3.612060809050225998e+03 9.612823144550799270e+02 9.981945782240247311e+00 1.634978495282201627e-01 2.539974164725765426e+00 1.020147184512674721e+04 5.943472842978778647e-01
3.201299999999997681e+01 2.959869270002669964e+03 4.951454169149476456e+02 1.379209972898749470e+01 9.912638721129089781e-02 2.364334326267854891e+00 1.838040433334192494e+04 3.144632849268599317e-01
5.632999999999981355e+00 1.738810663077254503e+04 4.206235309348192459e+03 2.020078272831292800e+16 5.985866583166803423e-01 2.580723738113282373e+00 4.342046023020451685e+03 1.922649391485910173e-39
6.670000000000015916e+00 1.281276291972417494e+04 1.350396591586220666e+03 1.400743511713405631e+01 2.211216657843035061e-01 2.100418349317035194e+00 1.161266408101135858e+04 3.815130391603693383e+00
1.441399999999998727e+01 6.732977376271657704e+03 7.382168034004682795e+02 9.257162522951935202e+00 1.313279598714389984e-01 2.142640079549964494e+00 1.526726816607617911e+04 3.348777039424464697e+00
5.342799999999999727e+01 7.717266447472266918e+03 7.922326670639164377e+02 1.241724094397682387e+00 1.935571785081908192e-01 3.577980335463350148e+00 6.781465025063758731e+03 1.752224444092009392e+01
1.234100000000000819e+01 3.129018946771121409e+04 5.881727376686653770e+02 1.149145687983281983e+00 1.388413075445822931e-01 2.604854991464094827e+00 1.105512642598672755e+04 8.952592867765426377e+01
1.476999999999975444e+00 2.069607813327292388e+04 3.701086954717790718e+02 4.761220540090391751e+01 9.556430112303182511e-02 1.514976382527845056e+00 1.762065457923107533e+04 2.887253407339472666e+00
8.206000000000017280e+00 2.504035398309483935e+04 7.002056400817438941e+01 2.425834938165734478e+00 1.381796262225651675e-02 1.715837765253946268e+00 2.117153721620379947e+05 5.965754065948205920e+01
1.425200000000000955e+01 3.410101496575402416e+04 7.482197411159207832e+02 9.442671053288642646e-01 1.407422304030736815e-01 2.967973174140880577e+00 1.283477082304205396e+04 9.002366538253929207e+01
1.519999999999998863e+01 5.709176701095821772e+04 9.002643943908142887e+01 5.066072217043921633e+00 5.384781681036855672e-02 1.328629752278540854e+00 2.170433676625159569e+04 1.033917057117825209e+02
7.106999999999970896e+00 8.037360454366767954e+03 3.050896003213313747e+02 2.556223494846188871e+01 7.385744773004096486e-02 1.805374944672059945e+00 2.590743760179899618e+04 1.349667879938750037e+00
4.326000000000021828e+00 4.664369856715915375e+03 6.671959456207475796e+02 8.306204152045328470e+00 1.536207248207321630e-01 2.276574129966853821e+00 9.446360431968543708e+03 2.143136076962516068e+00
1.234100000000000819e+01 4.218338863984268392e+04 6.090788774939630457e+03 6.924609610809222104e+00 2.054333227678752039e+00 2.344606932264016397e+00 5.719944869763413635e+02 6.261380523514365848e+01
9.201999999999998181e+00 3.718792154474417475e+04 7.822297293484625698e+02 1.154261329020706883e+00 2.101848166718287558e-01 2.736123275667720289e+00 5.253203071035192806e+03 9.850203858661427603e+01
3.180999999999983174e+00 5.620350614182549907e+04 6.341862511597512366e+02 5.186780453328977414e-01 1.761670434094422810e-01 3.905782201617504779e+00 5.448161384055722010e+03 1.582052802672185123e+02
1.425200000000000955e+01 3.330478112360373780e+04 1.142335487104788854e+03 2.198342831853419277e+00 2.754966445117505991e-01 2.386380182143694739e+00 5.801711476019760994e+03 8.111003656791008609e+01
2.435399999999998499e+01 3.179433752856940191e+04 4.701380726263140559e+02 6.364360402779565273e-01 1.491793139707335569e-01 3.397973604028866834e+00 6.432848245769694586e+03 9.234737677285021107e+01
8.387000000000000455e+00 1.553156139078438173e+04 8.402467680980938667e+02 1.847641398466552731e+00 1.940796816231942779e-01 2.817507281796538532e+00 6.544721664735472586e+03 2.284777149931250761e+01
7.980000000000018190e+00 8.545509690311795566e+03 6.942038774524726250e+02 1.445384133515555503e+00 1.375675554319018834e-01 3.171931041817960040e+00 1.335483228734852491e+04 1.536012992973308577e+01
8.387000000000000455e+00 3.124817712930533526e+04 1.408413630335852076e+03 1.067549712398256467e+00 3.083352014057305635e-01 3.874952617188084147e+00 5.077184890210942285e+03 8.186975000432401828e+01
1.000000000000000000e+00 1.980481638282602944e+04 9.102673321062679861e+02 2.001672089170842828e+00 2.966978342118104517e-01 2.701921998726257268e+00 3.424181461732711341e+03 3.917327105620721284e+01
3.180999999999983174e+00 4.249748088410705532e+04 6.001762629272091232e+01 2.784961792652166368e-01 5.690365982217900770e-02 2.339593764319951585e+00 2.272011237159459597e+03 1.080002904252287550e+02
3.424599999999998090e+01 5.318561983306561160e+03 6.081786130995719759e+02 3.445182516735892264e+00 1.622620542304345770e-01 2.577948570929472272e+00 8.167612040498301212e+03 6.194907391070493041e+00
4.363999999999975898e+00 2.713797002202523345e+03 4.981462982295840334e+02 5.857305333011298742e+00 2.050471669551488518e-01 2.595062044043445759e+00 4.368201488684368996e+03 1.456312295053145078e+00
2.836999999999989086e+00 2.010590480806155938e+03 3.601057577563255450e+02 5.878961101475849382e+00 1.159105714128967207e-01 2.587212913366230715e+00 1.074654455153526942e+04 8.329609794611094742e-01
2.978000000000008640e+00 1.100823295585640153e+04 1.000293771545348953e+01 1.185804435516506050e+66 7.685313685856459340e-03 1.086567985011232640e+00 3.663506376461360196e+04 5.938096995250016534e-70
1.542500000000001137e+01 2.066606932012696234e+03 2.760810809465162947e+02 1.396783839132136507e+01 1.202264425966776962e-01 2.237107063110028715e+00 7.028037674078502278e+03 3.372395697512480250e-01
1.190499999999997272e+01 1.972579317487432718e+03 2.000587543090697693e+02 7.993053076829226278e+00 9.653944952162400728e-02 2.309429390922989267e+00 9.686150512822101518e+03 7.205452971452680488e-01
1.034800000000001319e+01 1.625477378761195723e+03 2.630772619164267780e+02 5.632918762265171075e+00 1.480808361691926256e-01 2.535669180635084619e+00 4.069689780432718180e+03 8.009332338341031976e-01
2.435399999999998499e+01 1.543453289494448654e+04 6.041774380133911109e+02 1.701091340052508061e+00 3.783944263428740129e-01 3.069091104499725109e+00 1.699590495914666008e+03 3.339156249714070412e+01
1.556400000000002137e+01 4.634761161078641453e+04 2.800822560326977140e+01 2.072823549406961618e-01 8.086699795503909938e-02 3.918803466406839409e+00 2.551888107478858274e+03 1.245070559698519190e+02
2.435399999999998499e+01 1.225459899520188264e+04 4.001175086181396523e+01 5.903950044065884306e-01 1.752970496303679626e-02 1.424349206819485181e+00 2.193775028356652456e+03 2.909557999559358876e+01
1.400599999999997181e+01 1.426418918223672108e+03 4.221239715921372522e+02 5.982535206393079008e+00 2.148401234562460627e-01 2.802180287007656201e+00 2.673045215160638236e+03 4.780703550161318205e-01
7.745999999999980012e+00 2.353491185691899591e+04 3.000881314636047392e+01 2.947739109521621548e-01 8.103936960880059326e-02 3.763134980003007168e+00 4.121017238765302864e+03 6.343649015206842279e+01
