# Age[Myr] 			 Masses[Msun]			 CoreMass[Msun] 			  TruncRadii[pc]			  CoreRadii[pc] 			  FitAlpha			 FitSigma0 			  FitSigmaBg
1.732400000000001228e+01 1.008436162845912477e+05 1.489437425831038126e+03 6.154412368060655503e+00 1.671181680088138499e-01 1.584337343759617323e+00 2.533059769205109842e+04 1.666915936235142510e+02
2.091100000000000136e+01 7.082680078805162339e+04 2.463723559316216779e+03 1.185827006611512413e+00 3.222049144784338570e-01 3.505265199786733010e+00 8.830175080910337783e+03 1.815184452689810541e+02
4.728800000000001091e+01 5.289553463931853912e+03 1.116327849044619370e+03 1.496202537551459599e+01 1.382092630366425767e-01 2.438592914565249625e+00 2.007585229383869591e+04 4.390318148661291886e-01
2.253000000000002956e+01 1.734909517368248635e+04 2.038598706409440183e+03 2.518445849448042395e+00 2.341405606987941868e-01 2.902881803448122522e+00 1.466777702231467083e+04 2.966058028210870745e+01
2.091100000000000136e+01 6.183015860677029559e+04 1.915562572509360962e+03 1.203648633043710170e+00 2.268041888525539340e-01 3.068091688553451934e+00 1.354598831713030449e+04 1.608247162602226865e+02
2.084400000000005093e+01 1.683094300002193995e+04 2.241658342033147164e+03 1.488011019825242798e+01 4.007870941788138075e-01 2.104288687187575224e+00 5.064388746839820669e+03 5.037962874052316131e+00
2.970700000000005048e+01 3.443511308545067004e+04 1.172344300251159439e+03 1.108818718530150349e+01 1.689793057480303007e-01 1.614778295067897940e+00 1.367853453707075278e+04 3.180303692864348974e+01
1.977600000000001046e+01 2.388901585204681032e+04 3.227948000776870686e+03 5.168590048998243702e+00 4.914433251693813287e-01 2.470993431375283045e+00 5.209158223167025426e+03 3.100262094181397288e+01
2.648400000000003729e+01 1.943370739358331411e+04 1.760517037919830159e+02 2.304079300200212010e+00 7.172970312042994956e-02 1.865379817101901150e+00 1.450797800142730921e+04 4.479346097978044128e+01
2.253000000000002956e+01 1.801429053176020898e+04 1.363400410616323143e+03 1.476714132320025463e+00 2.131535992652642542e-01 3.375853647195194096e+00 1.119607160699713313e+04 3.248701807847086087e+01
1.271200000000004593e+01 6.789994121249841555e+03 5.121504110312233706e+02 7.970051068641228476e+00 9.649909511804112550e-02 2.128872520407063096e+00 1.932767338846493294e+04 3.208168629951596795e+00
1.732400000000001228e+01 8.709657898224043311e+04 9.002643943908219981e+00 1.802924779707384922e+96 4.750632369333925714e-03 9.536037646288791914e-01 1.841643318551197881e+05 3.636757255402709300e-89
1.562000000000000455e+01 1.941670239946685615e+04 2.990878376920620667e+02 7.915965324625538750e+14 8.773294384132747370e-02 1.513519326153948574e+00 2.170017183791353818e+04 3.081597661024310492e-20
1.977600000000001046e+01 3.087306696497696612e+04 5.851718563540345031e+02 6.558522999368618933e-01 1.719827764230951184e-01 3.943946046134405137e+00 7.475505706566037588e+03 7.581648584044658890e+01
2.648400000000003729e+01 2.555950645052779146e+04 5.221533487466771248e+02 9.698455346945856759e-01 1.705340185116652751e-01 2.737593535106221498e+00 4.384259551405027196e+03 7.458136259878594387e+01
3.378500000000002501e+01 3.850130726678119117e+03 6.822003521939336679e+02 4.403211516123552549e+00 1.555238520249358491e-01 2.704467612437884139e+00 1.197436324609967778e+04 2.834120474326262684e+00
4.615600000000000591e+01 2.790819622611563773e+03 7.112088715687492595e+02 9.195824163503631965e+00 1.393878146928019257e-01 2.518606041511225246e+00 1.035144091826385556e+04 5.416934954255953061e-01
4.139000000000004320e+01 1.329390422383758414e+04 6.131800819573040826e+02 9.796942318366906877e-01 1.357757381876268654e-01 3.363804624799051179e+00 1.381470842258877019e+04 3.578999571652732925e+01
2.209000000000003183e+01 5.953848557615901518e+04 8.972635130761864275e+02 9.794859684894547946e-01 2.564205195627723421e-01 3.031785753831126584e+00 5.113422629950709961e+03 1.728626033152289665e+02
