# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
4.766399999999999864e+02 1.772699999999997544e+01 8.644638803073536837e+04 2.375697707420233201e+03 4.767385977915528983e+00 1.923740710185224134e-01 2.018353210925176097e-02 1.801527039822543141e+00 4.840379266466592056e-02 2.581658084075833540e+04 2.971049604842518875e+03 1.584980112876961016e+02 4.886032983734899915e+00
0.000000000000000000e+00 3.011000000000001364e+01 3.233749704651974025e+04 7.572223850598388708e+02 1.116944476215603999e+01 1.312429382936556033e-01 2.485899301622718216e-02 1.617969687564798420e+00 5.368116624581584229e-02 1.943245189293114163e+04 3.981327231735120677e+03 2.928333423331300267e+01 3.531925894543873845e+00
0.000000000000000000e+00 2.293299999999999272e+01 1.383506315424361128e+04 1.502441244861133555e+03 3.654521161759967107e+00 1.653345437731465473e-01 1.569352849264487107e-02 2.476710470901699601e+00 8.213137826968475164e-02 2.162675488320380100e+04 2.899567976775696934e+03 2.022846832969738173e+01 1.067305145402051014e+00
0.000000000000000000e+00 2.017899999999997362e+01 2.882346502708059779e+04 1.507442713718860432e+03 8.135722233340731080e+00 2.361999989655509669e-01 3.059107886510964783e-02 1.873104100728150589e+00 6.499799959521004866e-02 1.133311012720094186e+04 1.627271784150626218e+03 2.989697101281927516e+01 2.638055474409302548e+00
0.000000000000000000e+00 2.131399999999996098e+01 6.037773205048604723e+04 2.305677143412058285e+03 1.249360738753102051e+00 2.929415650006058081e-01 2.383676989388926887e-02 3.320394289359239970e+00 2.261611864040575515e-01 9.276132378682579656e+03 1.123082295274328317e+03 1.490576887569112614e+02 2.275665446796896418e+00
0.000000000000000000e+00 2.249299999999999500e+01 6.893824614737351658e+04 4.861427729710457015e+02 9.772352558390070554e-01 9.037997321313322174e-02 2.030474541459915266e-02 2.345274230378784353e+00 1.661305889939022618e-01 2.524543083861691775e+04 7.559869023700783146e+03 1.891214774533128491e+02 2.594396883673876442e+00
0.000000000000000000e+00 1.602299999999996771e+01 1.954073882713848434e+04 5.211530549751336139e+02 2.364455705422588379e+12 9.246862578453882153e-02 2.527322101153720024e-02 1.529318378271315781e+00 5.458605091861538222e-02 2.070305100184595358e+04 6.212375295669986372e+03 1.295287219327389876e-16 2.685656163216371795e+00
0.000000000000000000e+00 2.374799999999999045e+01 1.549655110878040796e+04 1.580464159041671792e+03 1.561605491671137047e+00 2.776017514024365362e-01 2.170409420396387026e-02 3.581539219292808607e+00 2.436118431460031486e-01 7.393959321674582498e+03 9.107712158379653147e+02 3.036169082238967931e+01 1.007108310917983474e+00
0.000000000000000000e+00 2.131399999999996098e+01 9.009646000308939620e+03 6.942038774524812652e+02 1.105988181033420226e+00 1.264050863852908269e-01 1.783381330449874264e-02 3.315376940078133217e+00 2.930072850746469615e-01 1.501500243120953382e+04 3.316835466622847889e+03 2.260424083061764833e+01 8.452408551006227455e-01
0.000000000000000000e+00 4.769099999999998118e+01 5.286552582617222470e+03 1.026301409605540812e+03 2.181367855225981245e+01 1.456330042594994323e-01 1.517343000257132327e-02 2.468324828259642612e+00 7.278254386526988862e-02 1.961963528623339516e+04 3.026113952784687172e+03 1.674768093175246497e-01 3.127867451192578030e-01
0.000000000000000000e+00 2.124700000000001410e+01 1.687795680728456864e+04 6.628946824031111646e+03 7.004886268834106033e+00 1.556457800387284873e+00 8.182920281767026849e-02 3.328024590844890440e+00 1.899840782099440351e-01 8.445185640388290267e+02 6.008847690891630577e+01 1.123730990507256600e+01 1.271404692361004951e+00
0.000000000000000000e+00 2.131399999999996098e+01 3.650972236763585533e+04 2.442717390113773035e+03 2.178857855104187280e+00 2.970744527607621088e-01 2.559663596355186976e-02 2.760873031257455423e+00 1.214220652495551639e-01 1.017841197443497549e+04 1.227051932260645344e+03 8.275266021243422188e+01 1.913419105143852716e+00
