# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
1.540000000000000000e+02 3.449302095499961069e+02 1.290676352532116056e+01 3.718194479798959196e+07 1.408934452337375888e+03 9.402761452526433459e+02
1.580000000000000000e+02 3.483287030941976354e+02 1.281631571221036303e+01 4.700247503321181238e+07 1.773546703590778634e+03 9.402761452526341373e+02
1.620000000000000000e+02 3.505003117296604387e+02 1.275924485654135765e+01 4.360655183307275921e+07 1.387637958405939344e+03 9.382755577095397257e+02
1.660000000000000000e+02 3.526761012711966714e+02 1.270264369036810592e+01 4.420529356453482807e+07 1.405070051726705060e+03 9.332740888518248994e+02
1.700000000000000000e+02 3.548119851708325996e+02 1.264769391876824223e+01 5.109623630145196617e+07 1.866994810335560032e+03 9.252717386794575987e+02
1.740000000000000000e+02 3.571101139896041445e+02 1.258915002912297609e+01 5.828946450223683566e+07 2.002542313477855714e+03 4.798409222103107822e+03
1.780000000000000000e+02 3.593114795579710403e+02 1.253368815842056172e+01 5.948111876888571680e+07 1.968748626358556066e+03 5.860721207484171828e+03
1.820000000000000000e+02 3.610006866700909995e+02 1.249145747989269495e+01 5.979422988297475874e+07 2.035656056345811976e+03 5.850718269768788559e+03
1.860000000000000000e+02 3.631215072419950047e+02 1.243893538746922012e+01 6.289203133087056130e+07 1.999498714226329867e+03 5.818708869079398937e+03
1.900000000000000000e+02 3.651955472564753222e+02 1.238806538581471450e+01 6.378306561830252409e+07 2.006185921482043568e+03 5.790700643476100595e+03
1.940000000000000000e+02 3.673228401069852112e+02 1.233640129500641258e+01 6.451587886404076219e+07 1.990896042475754939e+03 5.759691536558160806e+03
1.980000000000000000e+02 3.694465574436622433e+02 1.228532023681426288e+01 6.614139188186110556e+07 2.099566660246669471e+03 5.731683310954897024e+03
2.020000000000000000e+02 3.716307921125123244e+02 1.223324946555165837e+01 6.751874768691918254e+07 2.102355687999414840e+03 5.694672441407656152e+03
2.060000000000000000e+02 3.737547744185014835e+02 1.218310140557453281e+01 6.642868798388422281e+07 1.963226961521780595e+03 8.996642181279021315e+03
2.100000000000000000e+02 3.759495572035114037e+02 1.213181061653594561e+01 6.758453433057081699e+07 1.959424376928433958e+03 1.213056256753043635e+04
2.140000000000000000e+02 3.780643366685033016e+02 1.208289837758438168e+01 6.863129143272215128e+07 2.016932421955606287e+03 1.209055081666856859e+04
2.180000000000000000e+02 3.801315925890139056e+02 1.203545226638723697e+01 7.680549009200686216e+07 2.317059405115834579e+03 1.203253377791894673e+04
2.220000000000000000e+02 3.822025250088004782e+02 1.198834731774043227e+01 7.746169104387402534e+07 2.302442861813562558e+03 1.196151292013941202e+04
2.260000000000000000e+02 3.842406272881303835e+02 1.194242738118749791e+01 7.917464200578808784e+07 2.401172753051040672e+03 1.188749118104505396e+04
2.300000000000000000e+02 3.862983420983354108e+02 1.189650624902106379e+01 7.528073889547607303e+07 1.870362315227070894e+03 1.182947414229530841e+04
2.340000000000000000e+02 3.883759684767431963e+02 1.185049444549042263e+01 7.500260295902471244e+07 1.569190660239491081e+03 1.176245445960168945e+04
2.380000000000000000e+02 3.891594709118035098e+02 1.183330809377301307e+01 7.518164255883617699e+07 1.564021972091916268e+03 1.173744711531309986e+04
2.420000000000000000e+02 3.900233701499290646e+02 1.181430555737845012e+01 7.616427850198632479e+07 1.557456075707145601e+03 1.170743830216682909e+04
2.460000000000000000e+02 3.908515633501854154e+02 1.179623325423625957e+01 7.665559647356118262e+07 1.568162475118267366e+03 1.167342831393430242e+04
2.500000000000000000e+02 3.916782014335132658e+02 1.177824564647189476e+01 7.613596526294656098e+07 1.551485806881974668e+03 1.164341950078794616e+04
