# 			 time 				 redshift 				fof_bound_mass 		 fof_field_mass 			fof_bound_lumi 		 fof_field_lumi 			prof_bound_mass 		 profiler_field_mass 			prof_bound_lumi 		 prof_field_lumi 		
3.401878574771991453e+02 1.303552517875448835e+01 1.650484723049853073e+03 0.000000000000000000e+00 3.269519592578390058e+36 0.000000000000000000e+00 1.650484723049853073e+03 0.000000000000000000e+00 3.269519592578390058e+36 0.000000000000000000e+00
3.413085215875068457e+02 1.300490605885995699e+01 1.650484723049836248e+03 0.000000000000000000e+00 3.361119428214415950e+36 0.000000000000000000e+00 1.650484723049836248e+03 0.000000000000000000e+00 3.361119428214415950e+36 0.000000000000000000e+00
3.414950612076414700e+02 1.299978652574963078e+01 1.650484723049843069e+03 0.000000000000000000e+00 3.463250807978837859e+36 0.000000000000000000e+00 1.650484723049843069e+03 0.000000000000000000e+00 3.463250807978837859e+36 0.000000000000000000e+00
3.424310743994619770e+02 1.297427282015630112e+01 1.640481785334359756e+03 0.000000000000000000e+00 4.196080854525271159e+36 0.000000000000000000e+00 1.640481785334359756e+03 0.000000000000000000e+00 4.196080854525271159e+36 0.000000000000000000e+00
3.434984105373528678e+02 1.294537438335830792e+01 1.639481491562830342e+03 0.000000000000000000e+00 5.282552817704865531e+36 0.000000000000000000e+00 1.639481491562830342e+03 0.000000000000000000e+00 5.282552817704865531e+36 0.000000000000000000e+00
3.445208085797470972e+02 1.291777658106522075e+01 1.635480316476674716e+03 0.000000000000000000e+00 3.705474663162396488e+36 0.000000000000000000e+00 1.635480316476674716e+03 0.000000000000000000e+00 3.705474663162396488e+36 0.000000000000000000e+00
3.455600156219841779e+02 1.288991243977960011e+01 1.633479728933541537e+03 0.000000000000000000e+00 2.653651261734647831e+36 0.000000000000000000e+00 1.633479728933541537e+03 0.000000000000000000e+00 2.653651261734647831e+36 0.000000000000000000e+00
3.465684466085374424e+02 1.286300269501951909e+01 1.627477966304275469e+03 0.000000000000000000e+00 2.222510636255688106e+36 0.000000000000000000e+00 1.627477966304275469e+03 0.000000000000000000e+00 2.222510636255688106e+36 0.000000000000000000e+00
3.476121878933097378e+02 1.283523676953520720e+01 1.615474441045734238e+03 1.900558165936158161e+01 1.901899675809369984e+36 2.333619234121926307e+34 1.615474441045734238e+03 1.900558165936158161e+01 1.901899675809369984e+36 2.333619234121926307e+34
3.486395979553372513e+02 1.280813807399352733e+01 1.628478260075815797e+03 0.000000000000000000e+00 1.616158475924352210e+36 0.000000000000000000e+00 1.628478260075815797e+03 0.000000000000000000e+00 1.616158475924352210e+36 0.000000000000000000e+00
3.496476841963644802e+02 1.278156570913416168e+01 1.623476791218132803e+03 0.000000000000000000e+00 1.381923315509361683e+36 0.000000000000000000e+00 1.623476791218132803e+03 0.000000000000000000e+00 1.381923315509361683e+36 0.000000000000000000e+00
3.506773848931913449e+02 1.275461833959925073e+01 1.619475616131910101e+03 0.000000000000000000e+00 1.187090813706102690e+36 0.000000000000000000e+00 1.619475616131910101e+03 0.000000000000000000e+00 1.187090813706102690e+36 0.000000000000000000e+00
3.516841946545009705e+02 1.272841992905076935e+01 1.617475028588839677e+03 0.000000000000000000e+00 1.050712609498066316e+36 0.000000000000000000e+00 1.617475028588839677e+03 0.000000000000000000e+00 1.050712609498066316e+36 0.000000000000000000e+00
3.527143437946878066e+02 1.270165707512160402e+01 1.604471209558739247e+03 0.000000000000000000e+00 9.458969999632975578e+35 0.000000000000000000e+00 1.604471209558739247e+03 0.000000000000000000e+00 9.458969999632975578e+35 0.000000000000000000e+00
3.537331963825881758e+02 1.267542400809547942e+01 1.600470034472580437e+03 0.000000000000000000e+00 8.391582102861109635e+35 0.000000000000000000e+00 1.600470034472580437e+03 0.000000000000000000e+00 8.391582102861109635e+35 0.000000000000000000e+00
